address,emergency_end_stakes
0x73DdF33AFf4274dc706241C4A1263196e5E6e872,4
0xAf001182b5cf662071D36DB508472BCAe48E8179,7
0x317cC4BE61191AE9C7F57aC2174971278A4287C2,1
0xc97FD0ac8A3dA0Ca025b3FE2899bA1D8Ed8Cf6cF,1
0xad94c59C491696Be1B7ff101d0640110C0452e86,3
0x0E3FCF9aABe8C4151D55Cb03C0cbaDe78cC1e413,4
0xb5dA89ee9b9ed00DAd22caED85E0E79fd55342e9,2
0xd08824c399f04C3a7685b2794dBD69059F86C91A,1
0xf1C8d116Eae6038F362F79b8cc2a2734a631B9fd,1
0xa517A2086A5c88b9Fc900cF49187458278E85C37,6
0x734eF730f02224227eD3D85F56c4e990aaFc370A,1
0xf2a79C9c6f754B2a538836046CDf135C1B11a44f,2
0x2A50732EE7dE2E3Def4428a8C75Ce07967bC0B68,2
0x706c468B0932B234961925417d3c220604333966,1
0x9A4277268dCdD98e1CdD7aEE6eaB203493d37A60,1
0x13C96D0B3398e44Ea5AC1071042bACf979a5e9a8,2
0x99B45ACd4Ad27183f1c6A43a285BffaECf8dc1D0,1
0xBD5ED1342ba0881B1e4314f8e1B625f8ad29CB1A,1
0x7079Dc66ccAbEbF4696F10Fd3E538Bb97e88b5e5,1
0x5837176fa7c9fFbe031B4b2328EEc076731012d9,4
0xDc5E197E531f3c7CE87A445e86781D109e617732,1
0x14E3973438342E1cC096654289B0A5254fdef96d,4
0x8A3d58C8C20697E28a24131b4644E0b1bCd93852,1
0x35E3fC2Bf0B3BeA4975989A6ec0594E5a9926e47,2
0x716954738E57686A08902d9dd586e813490feE23,1
0x71C4939D00674d297Fa0c91CEED98fAEeBf01F84,6
0x6E8d19026f401A47648B59851cC85a2B2Ad9Bf64,1
0x6b34DD6198Ff0caeDf1E3E22faD6EFf3F6F0988b,1
0xaE95F92820FE1e087c8106596f205CE3306106A3,2
0x567ed306c18bCc8Dd476a4F818F7519f6b1Ee93d,1
0xF89cac6FddD89Eabb4148BBE37f0c647Ae1fEDd8,15
0x34ce4b326026816e7429a7914F47fF73F1612AD8,2
0x564deda7c6Bb4372Bc96F161845011e2f4CdC782,1
0x326C2d08FBB8D5d211bE0f87Ba44F5Fa2bE3Ee02,5
0xde160BE6CdEa2eE81E154BC780D7c6e82B2b3480,3
0xCAD687aBc6f390F16F7E75C202b26091becF8d8C,1
0x2C429277d53776c87E0e12fad020D3e5EC598Fa9,1
0x00E9F5A932f547f5C65a2C96a29336121522cFd0,4
0x60229B94702a8d22c20a4859aF6093c34cedCb19,2
0x851786Dd414a069D28efe422028BF20D7314CBF8,1
0x473273b0555C68D402E230a9eE65e6Be3e9dd19E,1
0x58f58b98dd01171ad6A721548855CCcbDD96baa0,1
0x82efBfA381A1cFd20aDaF504F16D05A7E0Df78E7,1
0x526c437ee08b624f9EA89927de34018E644BFb25,3
0x66D56c3eB981eBfBC501Aa4d6913fAb3be0A2D36,1
0x2eBD882eA64Ae24ECeEbD198c180684f12aA31FD,3
0xfAdF7f31e3C0C877Ce55E54329B0169058447787,1
0x312896B18268954d1695D78CDc062ECA4c7d255c,1
0xA1bB6A05f22aa7CF64D4420886Fb4eB25c95014F,3
